date	close	open
01-May-12	58.13	55
30-Apr-12	53.98	53.98
27-Apr-12	67	51
26-Apr-12	89.7	32
25-Apr-12	99	99
24-Apr-12	130.28	125
23-Apr-12	166.7	150
20-Apr-12	234.98	234.98
19-Apr-12	345.44	345.44
18-Apr-12	443.34	403.34
17-Apr-12	543.7	340.7
16-Apr-12	580.13	500.13
13-Apr-12	605.23	555.23
12-Apr-12	622.77	600.77
11-Apr-12	626.2	526.2
10-Apr-12	628.44	648.44
09-Apr-12	636.23	506.23
05-Apr-12	633.68	553.68
04-Apr-12	624.31	554.31
03-Apr-12	629.32	459.32
02-Apr-12	618.63	558.63
30-Mar-12	599.55	499.55
29-Mar-12	609.86	509.86
28-Mar-12	617.62	517.62
27-Mar-12	614.48	514.48
26-Mar-12	606.98	556.98
